"area_codes","State code"
NA,NA
"973","NJ"
"412","PA"
NA,NA
NA,NA
"412","PA"
NA,NA
"412","PA"
NA,NA
"412","PA"
"412","PA"
"973","NJ"
"412","PA"
"973","NJ"
"973","NJ"
NA,NA
"412","PA"
"609","NJ"
NA,NA
"412","PA"
"708","IL"
"412","PA"
"908","NJ"
NA,NA
NA,NA
"412","PA"
"215","PA"
"609","NJ"
"973","NJ"
"973","NJ"
NA,NA
"973","NJ"
"412","PA"
"412","PA"
"215","PA"
"412","PA"
NA,NA
NA,NA
"412","PA"
NA,NA
"973","NJ"
"215","PA"
NA,NA
NA,NA
NA,NA
NA,NA
"412","PA"
NA,NA
"973","NJ"
"973","NJ"
"570","PA"
"973","NJ"
NA,NA
"412","PA"
"412","PA"
"412","PA"
"412","PA"
"973","NJ"
"973","NJ"
"315","NY"
"412","PA"
"412","PA"
"973","NJ"
NA,NA
"973","NJ"
"412","PA"
"570","PA"
NA,NA
"215","PA"
NA,NA
"412","PA"
"973","NJ"
"973","NJ"
"215","PA"
NA,NA
"412","PA"
"412","PA"
"973","NJ"
NA,NA
"738",NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"412","PA"
"973","NJ"
"412","PA"
"215","PA"
NA,NA
"412","PA"
NA,NA
NA,NA
"215","PA"
"215","PA"
NA,NA
NA,NA
NA,NA
"973","NJ"
"973","NJ"
"267","PA"
"412","PA"
NA,NA
"215","PA"
NA,NA
NA,NA
NA,NA
"215","PA"
"412","PA"
NA,NA
NA,NA
NA,NA
NA,NA
"215","PA"
NA,NA
NA,NA
"973","NJ"
NA,NA
NA,NA
"412","PA"
"609","NJ"
"412","PA"
NA,NA
NA,NA
"412","PA"
"973","NJ"
NA,NA
NA,NA
NA,NA
NA,NA
"412","PA"
NA,NA
NA,NA
"973","NJ"
"215","PA"
NA,NA
NA,NA
"973","NJ"
NA,NA
NA,NA
"973","NJ"
NA,NA
"215","PA"
"215","PA"
NA,NA
"973","NJ"
"973","NJ"
NA,NA
NA,NA
"864","SC"
"215","PA"
"215","PA"
NA,NA
"412","PA"
NA,NA
"215","PA"
"973","NJ"
NA,NA
"215","PA"
NA,NA
"412","PA"
NA,NA
"412","PA"
NA,NA
"412","PA"
"973","NJ"
NA,NA
NA,NA
NA,NA
"215","PA"
"973","NJ"
"100",NA
"412","PA"
"540","VA"
"973","NJ"
"412","PA"
"412","PA"
NA,NA
"973","NJ"
"973","NJ"
"215","PA"
"412","PA"
"007",NA
"357",NA
"412","PA"
"973","NJ"
NA,NA
"412","PA"
"973","NJ"
"215","PA"
"215","PA"
"412","PA"
NA,NA
NA,NA
NA,NA
"973","NJ"
"413","MA"
NA,NA
"973","NJ"
"412","PA"
NA,NA
NA,NA
"412","PA"
"412","PA"
NA,NA
"215","PA"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"973","NJ"
NA,NA
NA,NA
"412","PA"
"412","PA"
"973","NJ"
NA,NA
"973","NJ"
NA,NA
"412","PA"
NA,NA
"973","NJ"
NA,NA
NA,NA
"973","NJ"
"215","PA"
NA,NA
"412","PA"
"412","PA"
"412","PA"
NA,NA
NA,NA
NA,NA
NA,NA
"973","NJ"
"215","PA"
"412","PA"
NA,NA
NA,NA
"973","NJ"
NA,NA
NA,NA
"973","NJ"
"412","PA"
"412","PA"
"973","NJ"
"973","NJ"
NA,NA
"412","PA"
"215","PA"
"412","PA"
NA,NA
"412","PA"
"215","PA"
"412","PA"
"973","NJ"
"215","PA"
NA,NA
"412","PA"
NA,NA
NA,NA
NA,NA
"973","NJ"
"215","PA"
"973","NJ"
"973","NJ"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"412","PA"
"412","PA"
NA,NA
"412","PA"
"724","PA"
"412","PA"
NA,NA
"412","PA"
"973","NJ"
"215","PA"
"215","PA"
NA,NA
"412","PA"
"609","NJ"
NA,NA
NA,NA
NA,NA
NA,NA
"973","NJ"
"412","PA"
"973","NJ"
"973","NJ"
NA,NA
"973","NJ"
"973","NJ"
"412","PA"
"973","NJ"
NA,NA
NA,NA
NA,NA
"215","PA"
"973","NJ"
"973","NJ"
NA,NA
NA,NA
"973","NJ"
NA,NA
"973","NJ"
NA,NA
NA,NA
"412","PA"
"412","PA"
"973","NJ"
"973","NJ"
NA,NA
NA,NA
NA,NA
"973","NJ"
NA,NA
NA,NA
"215","PA"
NA,NA
NA,NA
"973","NJ"
"973","NJ"
NA,NA
"973","NJ"
"973","NJ"
"973","NJ"
"412","PA"
"412","PA"
NA,NA
"983",NA
NA,NA
"973","NJ"
"872","IL"
NA,NA
"412","PA"
"973","NJ"
"862","NJ"
"973","NJ"
NA,NA
NA,NA
"973","NJ"
"412","PA"
NA,NA
"412","PA"
NA,NA
"908","NJ"
"215","PA"
NA,NA
NA,NA
"412","PA"
"973","NJ"
NA,NA
NA,NA
NA,NA
"412","PA"
"215","PA"
"412","PA"
NA,NA
"973","NJ"
